date,regime,rho,target_skewness,fitted_skewness,skewness_error,feasible
2011-10-07,Unconstrained,-0.08793867003655366,-1.6099999999999994,-1.60999999998615,1.3849366098384053e-11,True
2011-10-10,Unconstrained,-0.09128404352309782,-1.6810000000000003,-1.6809999997536502,2.463500514693351e-10,True
2011-10-11,Unconstrained,-0.12237385020013897,-1.8909999999999996,-1.8909999998159222,1.8407741997350513e-10,True
2011-10-12,Unconstrained,-0.15842136181987593,-2.1599999999999993,-2.159999999927373,7.262634937887924e-11,True
2011-10-13,Unconstrained,-0.1621187166311275,-2.1980000000000004,-2.197999999934002,6.599831792186706e-11,True
2011-10-14,Unconstrained,-0.1520166416894095,-2.1900000000000004,-2.18999999983978,1.60220281486545e-10,True
2011-10-17,Unconstrained,-0.21756427355325647,-2.4459999999999993,-2.445999999999953,4.618527782440651e-14,True
2011-10-18,Unconstrained,-0.27120032616110396,-2.7989999999999995,-2.7989999999713366,2.866284987135259e-11,True
2011-10-19,Unconstrained,-0.1894858879892815,-2.2569999999999992,-2.256999999997943,2.05613304160579e-12,True
2011-10-20,Unconstrained,-0.19133963306485627,-2.2569999999999992,-2.2569999999985515,1.4477308241112041e-12,True
2011-10-21,Unconstrained,-0.254087106479579,-2.719,-2.7189999992925924,7.074074659385587e-10,True
2011-10-24,Unconstrained,-0.20092323125645253,-2.4849999999999994,-2.484999999997625,2.374545005068285e-12,True
2011-10-25,Unconstrained,-0.1795508594872791,-2.2650000000000006,-2.2649999999874084,1.2592149545298525e-11,True
2011-10-26,Unconstrained,-0.1690865934997867,-2.2650000000000006,-2.264999999951211,4.878941695096728e-11,True
2011-10-27,Unconstrained,-0.15632765821339742,-2.281999999999999,-2.281999999885535,1.1446399383885364e-10,True
2011-10-28,Unconstrained,-0.13272806493020697,-2.1180000000000008,-2.1179999997675973,2.3240342983399387e-10,True
2011-10-31,Unconstrained,-0.13999367766972223,-2.069,-2.0689999997697344,2.3026558437777567e-10,True
2011-11-01,Unconstrained,-0.27038849049686603,-2.6650000000000005,-2.664999999983375,1.6625367749156794e-11,True
2011-11-02,Unconstrained,-0.20452010284205832,-2.3950000000000005,-2.3949999999993707,6.297184995673888e-13,True
2011-11-03,Unconstrained,-0.1964965972023079,-2.4189999999999996,-2.4189999999966396,3.3599789617255738e-12,True
2011-11-04,Unconstrained,-0.18464615060571227,-2.3560000000000003,-2.3559999999869605,1.3039791468827389e-11,True
2011-11-07,Unconstrained,-0.20527322103780504,-2.4930000000000008,-2.4929999999988155,1.1852741010898171e-12,True
2011-11-08,Unconstrained,-0.19129679298688917,-2.4769999999999994,-2.4769999999912593,8.740119739059082e-12,True
2011-11-09,Unconstrained,-0.2049137279840894,-2.2870000000000004,-2.286999999999875,1.2523315717771766e-13,True
2011-11-10,Unconstrained,-0.2281944301263351,-2.5239999999999996,-2.523999999999998,1.7763568394002505e-15,True
2011-11-11,Unconstrained,-0.2002022011343677,-2.4560000000000004,-2.455999999997684,2.3163693185779266e-12,True
2011-11-14,Unconstrained,-0.2060245953499014,-2.4560000000000004,-2.4559999999991926,8.077982727172639e-13,True
2011-11-15,Unconstrained,-0.2135549229840835,-2.497,-2.4969999999997934,2.0650148258027912e-13,True
2011-11-16,Unconstrained,-0.19068254388554065,-2.2920000000000003,-2.29199999999721,2.7902125054879434e-12,True
2011-11-17,Unconstrained,-0.172585476077411,-2.1590000000000003,-2.158999999991285,8.715250743307479e-12,True
2011-11-18,Unconstrained,-0.13694495973827975,-2.0040000000000004,-2.003999999839099,1.6090151433445499e-10,True
2011-11-21,Unconstrained,-0.06716907124166918,-1.5150000000000006,-1.5149999998086716,1.913289526811468e-10,True
2011-11-22,Unconstrained,-0.0626467587051133,-1.4920000000000002,-1.4919999997240023,2.759978912081351e-10,True
2011-11-23,Unconstrained,-0.09303394280195423,-1.6780000000000002,-1.6779999998579918,1.4200840503519885e-10,True
2011-11-25,Unconstrained,-0.06416942036744545,-1.4769999999999996,-1.4769999999523304,4.7669201919120496e-11,True
2011-11-28,Unconstrained,-0.1159945908525174,-1.8629999999999995,-1.8629999997205842,2.7941537972253627e-10,True
2011-11-29,Unconstrained,-0.08165973812890895,-1.6450000000000002,-1.6449999994356608,5.643394640486576e-10,True
2011-11-30,Unconstrained,-0.07924695339492113,-1.6560000000000001,-1.655999999324845,6.751550429839881e-10,True
2011-12-01,Unconstrained,-0.08310953187702773,-1.6900000000000006,-1.6899999993295847,6.704159449810732e-10,True
2011-12-02,Unconstrained,-0.0758044718960321,-1.6310000000000002,-1.630999999371749,6.282512288180442e-10,True
2011-12-05,Unconstrained,-0.0739806228723862,-1.614,-1.6139999993646594,6.353406689640906e-10,True
2011-12-06,Unconstrained,-0.061937365709444296,-1.5159999999999996,-1.5159999994935867,5.064129116050253e-10,True
2011-12-07,Unconstrained,-0.07138897819998388,-1.5870000000000004,-1.5869999993627244,6.372760097406172e-10,True
2011-12-08,Unconstrained,-0.06701608093811688,-1.5370000000000004,-1.5369999995191441,4.80856243711969e-10,True
2011-12-09,Unconstrained,-0.0811750542119658,-1.6829999999999998,-1.6829999994611178,5.388820500940028e-10,True
2011-12-12,Unconstrained,-0.12320459137214408,-2.0260000000000007,-2.0259999996179148,3.820859184600067e-10,True
2011-12-13,Unconstrained,-0.1123546634679359,-1.9439999999999997,-1.943999999571346,4.2865377913869906e-10,True
2011-12-14,Unconstrained,-0.12913408658096487,-2.066,-2.0659999996472744,3.527254044399797e-10,True
2011-12-15,Unconstrained,-0.14913019275921832,-2.2349999999999994,-2.2349999998486285,1.513709158018628e-10,True
2011-12-16,Unconstrained,-0.10808214400864587,-1.922,-1.921999999697401,3.0259883487815387e-10,True
2011-12-19,Unconstrained,-0.07708525159591463,-1.658,-1.6579999997229382,2.7706170691033094e-10,True
2011-12-20,Unconstrained,-0.12409274816058224,-2.066,-2.065999999834447,1.6555290471842454e-10,True
2011-12-21,Unconstrained,-0.06096627120869062,-1.5159999999999996,-1.5159999999939848,6.014744258209248e-12,True
2011-12-22,Unconstrained,-0.0653446349361316,-1.5560000000000003,-1.5560000000000007,-4.440892098500626e-16,True
2011-12-23,Unconstrained,-0.08239484603913742,-1.714,-1.713999999999722,2.779998453661392e-13,True
2011-12-27,Unconstrained,-0.07569676955645381,-1.653,-1.6529999999936067,6.3933303096064265e-12,True
2011-12-28,Unconstrained,-0.073523117211093,-1.6319999999999992,-1.6319999999214898,7.850942118636794e-11,True
2011-12-29,Unconstrained,-0.07618305075783359,-1.6569999999999994,-1.6569999999699463,3.005307114278821e-11,True
2011-12-30,Unconstrained,-0.0722516807555697,-1.6209999999999993,-1.6209999999370652,6.293410237390162e-11,True
2012-01-03,Unconstrained,-0.08222397133295514,-1.7099999999999995,-1.7099999999300401,6.995937162912469e-11,True
